dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1743-11-01;7.478;1.866;Aix En Provence;France;44.20N;4.47E
1743-12-01;;;Aix En Provence;France;44.20N;4.47E
1744-01-01;;;Aix En Provence;France;44.20N;4.47E
1744-02-01;;;Aix En Provence;France;44.20N;4.47E
1744-03-01;;;Aix En Provence;France;44.20N;4.47E
1744-04-01;11.596;2.044;Aix En Provence;France;44.20N;4.47E
1744-05-01;13.287;1.791;Aix En Provence;France;44.20N;4.47E
1744-06-01;17.675;1.733;Aix En Provence;France;44.20N;4.47E
1744-07-01;20.056;1.825;Aix En Provence;France;44.20N;4.47E
1744-08-01;;;Aix En Provence;France;44.20N;4.47E
1744-09-01;15.835;1.834;Aix En Provence;France;44.20N;4.47E
1744-10-01;11.122;1.818;Aix En Provence;France;44.20N;4.47E
1744-11-01;7.075;1.755;Aix En Provence;France;44.20N;4.47E
1744-12-01;3.541;1.996;Aix En Provence;France;44.20N;4.47E
1745-01-01;1.671;2.075;Aix En Provence;France;44.20N;4.47E
1745-02-01;3.345;1.956;Aix En Provence;France;44.20N;4.47E
1745-03-01;5.85;1.685;Aix En Provence;France;44.20N;4.47E
1745-04-01;10.043;1.634;Aix En Provence;France;44.20N;4.47E
1745-05-01;;;Aix En Provence;France;44.20N;4.47E
1745-06-01;;;Aix En Provence;France;44.20N;4.47E
1745-07-01;;;Aix En Provence;France;44.20N;4.47E
1745-08-01;;;Aix En Provence;France;44.20N;4.47E
1745-09-01;;;Aix En Provence;France;44.20N;4.47E
1745-10-01;;;Aix En Provence;France;44.20N;4.47E
1745-11-01;;;Aix En Provence;France;44.20N;4.47E
1745-12-01;;;Aix En Provence;France;44.20N;4.47E
1746-01-01;;;Aix En Provence;France;44.20N;4.47E
1746-02-01;;;Aix En Provence;France;44.20N;4.47E
1746-03-01;;;Aix En Provence;France;44.20N;4.47E
1746-04-01;;;Aix En Provence;France;44.20N;4.47E
1746-05-01;;;Aix En Provence;France;44.20N;4.47E
1746-06-01;;;Aix En Provence;France;44.20N;4.47E
1746-07-01;;;Aix En Provence;France;44.20N;4.47E
1746-08-01;;;Aix En Provence;France;44.20N;4.47E
1746-09-01;;;Aix En Provence;France;44.20N;4.47E
1746-10-01;;;Aix En Provence;France;44.20N;4.47E
1746-11-01;;;Aix En Provence;France;44.20N;4.47E
1746-12-01;;;Aix En Provence;France;44.20N;4.47E
1747-01-01;;;Aix En Provence;France;44.20N;4.47E
1747-02-01;;;Aix En Provence;France;44.20N;4.47E
1747-03-01;;;Aix En Provence;France;44.20N;4.47E
1747-04-01;;;Aix En Provence;France;44.20N;4.47E
1747-05-01;;;Aix En Provence;France;44.20N;4.47E
1747-06-01;;;Aix En Provence;France;44.20N;4.47E
1747-07-01;;;Aix En Provence;France;44.20N;4.47E
1747-08-01;;;Aix En Provence;France;44.20N;4.47E
1747-09-01;;;Aix En Provence;France;44.20N;4.47E
1747-10-01;;;Aix En Provence;France;44.20N;4.47E
1747-11-01;;;Aix En Provence;France;44.20N;4.47E
1747-12-01;;;Aix En Provence;France;44.20N;4.47E
1748-01-01;;;Aix En Provence;France;44.20N;4.47E
1748-02-01;;;Aix En Provence;France;44.20N;4.47E
1748-03-01;;;Aix En Provence;France;44.20N;4.47E
1748-04-01;;;Aix En Provence;France;44.20N;4.47E
1748-05-01;;;Aix En Provence;France;44.20N;4.47E
1748-06-01;;;Aix En Provence;France;44.20N;4.47E
1748-07-01;;;Aix En Provence;France;44.20N;4.47E
1748-08-01;;;Aix En Provence;France;44.20N;4.47E
1748-09-01;;;Aix En Provence;France;44.20N;4.47E
1748-10-01;;;Aix En Provence;France;44.20N;4.47E
1748-11-01;;;Aix En Provence;France;44.20N;4.47E
1748-12-01;;;Aix En Provence;France;44.20N;4.47E
1749-01-01;;;Aix En Provence;France;44.20N;4.47E
1749-02-01;;;Aix En Provence;France;44.20N;4.47E
1749-03-01;;;Aix En Provence;France;44.20N;4.47E
1749-04-01;;;Aix En Provence;France;44.20N;4.47E
1749-05-01;;;Aix En Provence;France;44.20N;4.47E
1749-06-01;;;Aix En Provence;France;44.20N;4.47E
1749-07-01;;;Aix En Provence;France;44.20N;4.47E
1749-08-01;;;Aix En Provence;France;44.20N;4.47E
1749-09-01;;;Aix En Provence;France;44.20N;4.47E
1749-10-01;;;Aix En Provence;France;44.20N;4.47E
1749-11-01;;;Aix En Provence;France;44.20N;4.47E
1749-12-01;;;Aix En Provence;France;44.20N;4.47E
1750-01-01;2.4;1.845;Aix En Provence;France;44.20N;4.47E
1750-02-01;5.987;2.193;Aix En Provence;France;44.20N;4.47E
1750-03-01;8.998;2.162;Aix En Provence;France;44.20N;4.47E
1750-04-01;10.06;1.595;Aix En Provence;France;44.20N;4.47E
1750-05-01;14.538;1.811;Aix En Provence;France;44.20N;4.47E
1750-06-01;18.076;1.694;Aix En Provence;France;44.20N;4.47E
1750-07-01;22.412;1.684;Aix En Provence;France;44.20N;4.47E
1750-08-01;20.382;1.493;Aix En Provence;France;44.20N;4.47E
1750-09-01;16.589;1.554;Aix En Provence;France;44.20N;4.47E
1750-10-01;9.612;1.62;Aix En Provence;France;44.20N;4.47E
1750-11-01;;;Aix En Provence;France;44.20N;4.47E
1750-12-01;3.187;1.916;Aix En Provence;France;44.20N;4.47E
1751-01-01;2.864;2.037;Aix En Provence;France;44.20N;4.47E
1751-02-01;2.334;2.252;Aix En Provence;France;44.20N;4.47E
1751-03-01;8.449;1.873;Aix En Provence;France;44.20N;4.47E
1751-04-01;9.329;1.654;Aix En Provence;France;44.20N;4.47E
1751-05-01;;;Aix En Provence;France;44.20N;4.47E
1751-06-01;19.164;1.727;Aix En Provence;France;44.20N;4.47E
1751-07-01;21.157;1.624;Aix En Provence;France;44.20N;4.47E
1751-08-01;20.718;1.474;Aix En Provence;France;44.20N;4.47E
1751-09-01;15.466;1.521;Aix En Provence;France;44.20N;4.47E
1751-10-01;;;Aix En Provence;France;44.20N;4.47E
1751-11-01;;;Aix En Provence;France;44.20N;4.47E
1751-12-01;;;Aix En Provence;France;44.20N;4.47E
1752-01-01;2.024;2.423;Aix En Provence;France;44.20N;4.47E
1752-02-01;;;Aix En Provence;France;44.20N;4.47E
1752-03-01;8.06;1.957;Aix En Provence;France;44.20N;4.47E
1752-04-01;9.683;1.834;Aix En Provence;France;44.20N;4.47E
1752-05-01;;;Aix En Provence;France;44.20N;4.47E
1752-06-01;;;Aix En Provence;France;44.20N;4.47E
1752-07-01;;;Aix En Provence;France;44.20N;4.47E
1752-08-01;;;Aix En Provence;France;44.20N;4.47E
1752-09-01;;;Aix En Provence;France;44.20N;4.47E
1752-10-01;10.911;1.738;Aix En Provence;France;44.20N;4.47E
1752-11-01;7.978;1.737;Aix En Provence;France;44.20N;4.47E
1752-12-01;4.787;1.937;Aix En Provence;France;44.20N;4.47E
1753-01-01;-0.253;7.387;Aix En Provence;France;44.20N;4.47E
1753-02-01;3.51;4.025;Aix En Provence;France;44.20N;4.47E
1753-03-01;8.332;3.309;Aix En Provence;France;44.20N;4.47E
1753-04-01;9.801;7.24;Aix En Provence;France;44.20N;4.47E
1753-05-01;14.653;2.013;Aix En Provence;France;44.20N;4.47E
1753-06-01;20.865;2.392;Aix En Provence;France;44.20N;4.47E
1753-07-01;22.132;1.809;Aix En Provence;France;44.20N;4.47E
1753-08-01;19.415;6.431;Aix En Provence;France;44.20N;4.47E
1753-09-01;16.995;1.599;Aix En Provence;France;44.20N;4.47E
1753-10-01;11.752;1.397;Aix En Provence;France;44.20N;4.47E
1753-11-01;5.489;2.617;Aix En Provence;France;44.20N;4.47E
1753-12-01;4.119;4.329;Aix En Provence;France;44.20N;4.47E
1754-01-01;1.355;3.477;Aix En Provence;France;44.20N;4.47E
1754-02-01;1.269;5.488;Aix En Provence;France;44.20N;4.47E
1754-03-01;3.933;4.071;Aix En Provence;France;44.20N;4.47E
1754-04-01;10.017;7.535;Aix En Provence;France;44.20N;4.47E
1754-05-01;15.138;3.5;Aix En Provence;France;44.20N;4.47E
1754-06-01;19.126;1.784;Aix En Provence;France;44.20N;4.47E
1754-07-01;20.377;2.806;Aix En Provence;France;44.20N;4.47E
1754-08-01;21.206;4.433;Aix En Provence;France;44.20N;4.47E
1754-09-01;16.799;3.203;Aix En Provence;France;44.20N;4.47E
1754-10-01;13.123;2.426;Aix En Provence;France;44.20N;4.47E
1754-11-01;8.42;1.911;Aix En Provence;France;44.20N;4.47E
1754-12-01;3.746;2.445;Aix En Provence;France;44.20N;4.47E
1755-01-01;-2.241;6.349;Aix En Provence;France;44.20N;4.47E
1755-02-01;1.006;5.269;Aix En Provence;France;44.20N;4.47E
1755-03-01;6.631;4.701;Aix En Provence;France;44.20N;4.47E
1755-04-01;14.106;4.861;Aix En Provence;France;44.20N;4.47E
1755-05-01;14.234;3.569;Aix En Provence;France;44.20N;4.47E
1755-06-01;20.857;4.434;Aix En Provence;France;44.20N;4.47E
1755-07-01;20.526;1.73;Aix En Provence;France;44.20N;4.47E
1755-08-01;19.096;2.756;Aix En Provence;France;44.20N;4.47E
1755-09-01;16.073;1.235;Aix En Provence;France;44.20N;4.47E
1755-10-01;10.769;7.173;Aix En Provence;France;44.20N;4.47E
1755-11-01;6.431;6.704;Aix En Provence;France;44.20N;4.47E
1755-12-01;3.264;8.123;Aix En Provence;France;44.20N;4.47E
1756-01-01;3.687;4.103;Aix En Provence;France;44.20N;4.47E
1756-02-01;5.622;4.077;Aix En Provence;France;44.20N;4.47E
1756-03-01;7.119;7.158;Aix En Provence;France;44.20N;4.47E
1756-04-01;9.521;2.511;Aix En Provence;France;44.20N;4.47E
1756-05-01;14.469;5.454;Aix En Provence;France;44.20N;4.47E
1756-06-01;19.855;3.359;Aix En Provence;France;44.20N;4.47E
1756-07-01;20.541;2.339;Aix En Provence;France;44.20N;4.47E
1756-08-01;19.705;8.491;Aix En Provence;France;44.20N;4.47E
1756-09-01;17.612;2.818;Aix En Provence;France;44.20N;4.47E
1756-10-01;10.258;2.564;Aix En Provence;France;44.20N;4.47E
1756-11-01;4.275;3.822;Aix En Provence;France;44.20N;4.47E
1756-12-01;1.351;2.733;Aix En Provence;France;44.20N;4.47E
1757-01-01;-0.53;2.5;Aix En Provence;France;44.20N;4.47E
1757-02-01;3.337;4.209;Aix En Provence;France;44.20N;4.47E
1757-03-01;6.235;3.878;Aix En Provence;France;44.20N;4.47E
1757-04-01;9.942;5.643;Aix En Provence;France;44.20N;4.47E
1757-05-01;15.562;4.156;Aix En Provence;France;44.20N;4.47E
1757-06-01;20.327;4.464;Aix En Provence;France;44.20N;4.47E
1757-07-01;23.49;6.601;Aix En Provence;France;44.20N;4.47E
1757-08-01;20.637;4.47;Aix En Provence;France;44.20N;4.47E
1757-09-01;15.926;7.334;Aix En Provence;France;44.20N;4.47E
1757-10-01;8.609;9.857;Aix En Provence;France;44.20N;4.47E
1757-11-01;5.704;3.694;Aix En Provence;France;44.20N;4.47E
1757-12-01;1.731;10.455;Aix En Provence;France;44.20N;4.47E
1758-01-01;-0.876;2.206;Aix En Provence;France;44.20N;4.47E
1758-02-01;3.414;3.06;Aix En Provence;France;44.20N;4.47E
1758-03-01;7.34;4.586;Aix En Provence;France;44.20N;4.47E
1758-04-01;9.147;8.623;Aix En Provence;France;44.20N;4.47E
1758-05-01;14.594;5.796;Aix En Provence;France;44.20N;4.47E
1758-06-01;19.167;5.024;Aix En Provence;France;44.20N;4.47E
1758-07-01;18.431;7.476;Aix En Provence;France;44.20N;4.47E
1758-08-01;19.228;6.615;Aix En Provence;France;44.20N;4.47E
1758-09-01;14.623;3.281;Aix En Provence;France;44.20N;4.47E
1758-10-01;9.207;11.375;Aix En Provence;France;44.20N;4.47E
1758-11-01;6.569;7.448;Aix En Provence;France;44.20N;4.47E
1758-12-01;3.702;5.629;Aix En Provence;France;44.20N;4.47E
1759-01-01;3.776;5.827;Aix En Provence;France;44.20N;4.47E
1759-02-01;5.151;8.12;Aix En Provence;France;44.20N;4.47E
1759-03-01;6.934;3.337;Aix En Provence;France;44.20N;4.47E
1759-04-01;10.11;6.351;Aix En Provence;France;44.20N;4.47E
1759-05-01;14.705;3.352;Aix En Provence;France;44.20N;4.47E
1759-06-01;18.264;5.601;Aix En Provence;France;44.20N;4.47E
1759-07-01;22.373;4.537;Aix En Provence;France;44.20N;4.47E
1759-08-01;20.333;6.809;Aix En Provence;France;44.20N;4.47E
1759-09-01;17.913;5.954;Aix En Provence;France;44.20N;4.47E
1759-10-01;13.024;4.628;Aix En Provence;France;44.20N;4.47E
1759-11-01;3.855;6.157;Aix En Provence;France;44.20N;4.47E
1759-12-01;2.273;6.697;Aix En Provence;France;44.20N;4.47E
1760-01-01;1.935;4.642;Aix En Provence;France;44.20N;4.47E
1760-02-01;3.139;2.47;Aix En Provence;France;44.20N;4.47E
1760-03-01;5.44;8.923;Aix En Provence;France;44.20N;4.47E
1760-04-01;12.718;6.57;Aix En Provence;France;44.20N;4.47E
1760-05-01;14.388;4.28;Aix En Provence;France;44.20N;4.47E
1760-06-01;18.297;2.803;Aix En Provence;France;44.20N;4.47E
1760-07-01;21.21;3.72;Aix En Provence;France;44.20N;4.47E
1760-08-01;20.086;7.066;Aix En Provence;France;44.20N;4.47E
1760-09-01;17.429;5.053;Aix En Provence;France;44.20N;4.47E
1760-10-01;11.737;4.729;Aix En Provence;France;44.20N;4.47E
1760-11-01;6.355;2.738;Aix En Provence;France;44.20N;4.47E
1760-12-01;4.818;3.298;Aix En Provence;France;44.20N;4.47E
1761-01-01;0.632;6.352;Aix En Provence;France;44.20N;4.47E
1761-02-01;5.703;3.763;Aix En Provence;France;44.20N;4.47E
1761-03-01;8.608;1.632;Aix En Provence;France;44.20N;4.47E
1761-04-01;9.216;4.709;Aix En Provence;France;44.20N;4.47E
1761-05-01;15.706;5.395;Aix En Provence;France;44.20N;4.47E
1761-06-01;19.023;2.575;Aix En Provence;France;44.20N;4.47E
1761-07-01;22.648;6.288;Aix En Provence;France;44.20N;4.47E
1761-08-01;21.198;2.814;Aix En Provence;France;44.20N;4.47E
1761-09-01;17.564;3.742;Aix En Provence;France;44.20N;4.47E
1761-10-01;10.891;4.547;Aix En Provence;France;44.20N;4.47E
1761-11-01;5.41;2.273;Aix En Provence;France;44.20N;4.47E
1761-12-01;1.125;2.43;Aix En Provence;France;44.20N;4.47E
1762-01-01;4.293;1.892;Aix En Provence;France;44.20N;4.47E
1762-02-01;3.839;8.902;Aix En Provence;France;44.20N;4.47E
1762-03-01;4.344;5.205;Aix En Provence;France;44.20N;4.47E
1762-04-01;12.516;3.901;Aix En Provence;France;44.20N;4.47E
1762-05-01;15.761;6.771;Aix En Provence;France;44.20N;4.47E
1762-06-01;18.867;6.541;Aix En Provence;France;44.20N;4.47E
1762-07-01;23.093;2.952;Aix En Provence;France;44.20N;4.47E
1762-08-01;19.877;3.065;Aix En Provence;France;44.20N;4.47E
1762-09-01;16.645;8.27;Aix En Provence;France;44.20N;4.47E
1762-10-01;10.211;4;Aix En Provence;France;44.20N;4.47E
1762-11-01;5.772;2.273;Aix En Provence;France;44.20N;4.47E
1762-12-01;-0.023;7.021;Aix En Provence;France;44.20N;4.47E
1763-01-01;-0.042;6.646;Aix En Provence;France;44.20N;4.47E
1763-02-01;6.633;4.718;Aix En Provence;France;44.20N;4.47E
1763-03-01;5.863;7.194;Aix En Provence;France;44.20N;4.47E
1763-04-01;10.093;1.83;Aix En Provence;France;44.20N;4.47E
1763-05-01;12.882;3.024;Aix En Provence;France;44.20N;4.47E
1763-06-01;18.15;5.825;Aix En Provence;France;44.20N;4.47E
1763-07-01;21.088;2.387;Aix En Provence;France;44.20N;4.47E
1763-08-01;21.639;3.123;Aix En Provence;France;44.20N;4.47E
1763-09-01;15.832;2.425;Aix En Provence;France;44.20N;4.47E
1763-10-01;9.645;6.404;Aix En Provence;France;44.20N;4.47E
1763-11-01;5.849;3.461;Aix En Provence;France;44.20N;4.47E
1763-12-01;4.413;2.092;Aix En Provence;France;44.20N;4.47E
1764-01-01;4.359;5.427;Aix En Provence;France;44.20N;4.47E
1764-02-01;6.317;3.016;Aix En Provence;France;44.20N;4.47E
1764-03-01;5.56;4.023;Aix En Provence;France;44.20N;4.47E
1764-04-01;9.051;4.814;Aix En Provence;France;44.20N;4.47E
1764-05-01;15.883;7.761;Aix En Provence;France;44.20N;4.47E
1764-06-01;19.425;3.123;Aix En Provence;France;44.20N;4.47E
1764-07-01;20.316;5.486;Aix En Provence;France;44.20N;4.47E
1764-08-01;18.774;1.773;Aix En Provence;France;44.20N;4.47E
1764-09-01;15.834;5.159;Aix En Provence;France;44.20N;4.47E
1764-10-01;10;3.181;Aix En Provence;France;44.20N;4.47E
1764-11-01;6.436;3.251;Aix En Provence;France;44.20N;4.47E
1764-12-01;4.906;4.025;Aix En Provence;France;44.20N;4.47E
1765-01-01;5.527;10.663;Aix En Provence;France;44.20N;4.47E
1765-02-01;3.1;4.3;Aix En Provence;France;44.20N;4.47E
1765-03-01;8.094;2.811;Aix En Provence;France;44.20N;4.47E
1765-04-01;10.081;1.813;Aix En Provence;France;44.20N;4.47E
1765-05-01;14.372;2.614;Aix En Provence;France;44.20N;4.47E
1765-06-01;19.117;2.892;Aix En Provence;France;44.20N;4.47E
1765-07-01;19.151;4.593;Aix En Provence;France;44.20N;4.47E
1765-08-01;19.72;2.273;Aix En Provence;France;44.20N;4.47E
1765-09-01;16.721;1.417;Aix En Provence;France;44.20N;4.47E
1765-10-01;11.73;1.072;Aix En Provence;France;44.20N;4.47E
1765-11-01;6.607;3.365;Aix En Provence;France;44.20N;4.47E
1765-12-01;1.783;2.171;Aix En Provence;France;44.20N;4.47E
1766-01-01;-2.017;7.404;Aix En Provence;France;44.20N;4.47E
1766-02-01;2.584;4.044;Aix En Provence;France;44.20N;4.47E
1766-03-01;6.787;2.613;Aix En Provence;France;44.20N;4.47E
1766-04-01;10.912;3.581;Aix En Provence;France;44.20N;4.47E
1766-05-01;14.672;1.829;Aix En Provence;France;44.20N;4.47E
1766-06-01;19.627;7.287;Aix En Provence;France;44.20N;4.47E
1766-07-01;19.78;4.203;Aix En Provence;France;44.20N;4.47E
1766-08-01;21.421;3.161;Aix En Provence;France;44.20N;4.47E
1766-09-01;17.8;3.387;Aix En Provence;France;44.20N;4.47E
1766-10-01;11.786;2.471;Aix En Provence;France;44.20N;4.47E
1766-11-01;8.435;5.071;Aix En Provence;France;44.20N;4.47E
1766-12-01;2.394;3.759;Aix En Provence;France;44.20N;4.47E
1767-01-01;-1.892;7.437;Aix En Provence;France;44.20N;4.47E
1767-02-01;6.413;8.525;Aix En Provence;France;44.20N;4.47E
1767-03-01;7.759;8.312;Aix En Provence;France;44.20N;4.47E
1767-04-01;8.94;6.343;Aix En Provence;France;44.20N;4.47E
1767-05-01;13.726;2.342;Aix En Provence;France;44.20N;4.47E
1767-06-01;18.173;3.4;Aix En Provence;France;44.20N;4.47E
1767-07-01;21.154;4.179;Aix En Provence;France;44.20N;4.47E
1767-08-01;20.432;2.063;Aix En Provence;France;44.20N;4.47E
1767-09-01;16.66;3.723;Aix En Provence;France;44.20N;4.47E
1767-10-01;11.798;2.76;Aix En Provence;France;44.20N;4.47E
1767-11-01;8.184;8.821;Aix En Provence;France;44.20N;4.47E
1767-12-01;1.584;5.702;Aix En Provence;France;44.20N;4.47E
1768-01-01;0.411;12.588;Aix En Provence;France;44.20N;4.47E
1768-02-01;3.889;9.39;Aix En Provence;France;44.20N;4.47E
1768-03-01;5.13;6.439;Aix En Provence;France;44.20N;4.47E
1768-04-01;10.899;3.93;Aix En Provence;France;44.20N;4.47E
1768-05-01;14.479;2.67;Aix En Provence;France;44.20N;4.47E
1768-06-01;17.359;4.703;Aix En Provence;France;44.20N;4.47E
1768-07-01;20.685;5.022;Aix En Provence;France;44.20N;4.47E
1768-08-01;20.279;1.57;Aix En Provence;France;44.20N;4.47E
1768-09-01;15.958;4.906;Aix En Provence;France;44.20N;4.47E
1768-10-01;11.329;4.337;Aix En Provence;France;44.20N;4.47E
1768-11-01;7.488;5.914;Aix En Provence;France;44.20N;4.47E
1768-12-01;2.804;7.997;Aix En Provence;France;44.20N;4.47E
1769-01-01;3.362;6.519;Aix En Provence;France;44.20N;4.47E
1769-02-01;3.943;4.2;Aix En Provence;France;44.20N;4.47E
1769-03-01;5.991;5.122;Aix En Provence;France;44.20N;4.47E
1769-04-01;10.458;6.197;Aix En Provence;France;44.20N;4.47E
1769-05-01;14.782;9.139;Aix En Provence;France;44.20N;4.47E
1769-06-01;18.755;5.188;Aix En Provence;France;44.20N;4.47E
1769-07-01;20.309;5.345;Aix En Provence;France;44.20N;4.47E
1769-08-01;20.235;5.745;Aix En Provence;France;44.20N;4.47E
1769-09-01;16.636;1.646;Aix En Provence;France;44.20N;4.47E
1769-10-01;8.094;2.822;Aix En Provence;France;44.20N;4.47E
1769-11-01;7.912;1.816;Aix En Provence;France;44.20N;4.47E
1769-12-01;3.444;4.451;Aix En Provence;France;44.20N;4.47E
1770-01-01;1.281;7.609;Aix En Provence;France;44.20N;4.47E
1770-02-01;4.799;3.795;Aix En Provence;France;44.20N;4.47E
1770-03-01;5.863;4.613;Aix En Provence;France;44.20N;4.47E
1770-04-01;9.132;12.58;Aix En Provence;France;44.20N;4.47E
1770-05-01;13.84;2.011;Aix En Provence;France;44.20N;4.47E
1770-06-01;18.274;4.598;Aix En Provence;France;44.20N;4.47E
1770-07-01;18.66;8.673;Aix En Provence;France;44.20N;4.47E
1770-08-01;20.321;4.895;Aix En Provence;France;44.20N;4.47E
1770-09-01;17.744;3.545;Aix En Provence;France;44.20N;4.47E
1770-10-01;10.759;5.263;Aix En Provence;France;44.20N;4.47E
1770-11-01;7.556;7.295;Aix En Provence;France;44.20N;4.47E
1770-12-01;3.498;10.346;Aix En Provence;France;44.20N;4.47E
1771-01-01;3.976;8.091;Aix En Provence;France;44.20N;4.47E
1771-02-01;3.737;4.668;Aix En Provence;France;44.20N;4.47E
1771-03-01;6.821;8.331;Aix En Provence;France;44.20N;4.47E
1771-04-01;7.41;7.517;Aix En Provence;France;44.20N;4.47E
1771-05-01;15.347;11.977;Aix En Provence;France;44.20N;4.47E
1771-06-01;17.647;3.215;Aix En Provence;France;44.20N;4.47E
1771-07-01;21.492;1.982;Aix En Provence;France;44.20N;4.47E
1771-08-01;20.9;2.782;Aix En Provence;France;44.20N;4.47E
1771-09-01;16.785;2.147;Aix En Provence;France;44.20N;4.47E
1771-10-01;12.226;1.666;Aix En Provence;France;44.20N;4.47E
1771-11-01;5.432;4.877;Aix En Provence;France;44.20N;4.47E
1771-12-01;5.305;4.604;Aix En Provence;France;44.20N;4.47E
1772-01-01;3.072;9.054;Aix En Provence;France;44.20N;4.47E
1772-02-01;6.749;10.73;Aix En Provence;France;44.20N;4.47E
1772-03-01;9.041;3.842;Aix En Provence;France;44.20N;4.47E
1772-04-01;10.758;4.152;Aix En Provence;France;44.20N;4.47E
1772-05-01;13.393;1.782;Aix En Provence;France;44.20N;4.47E
1772-06-01;20.208;5.06;Aix En Provence;France;44.20N;4.47E
1772-07-01;21.242;3.267;Aix En Provence;France;44.20N;4.47E
1772-08-01;21.267;4.655;Aix En Provence;France;44.20N;4.47E
1772-09-01;17.523;3.767;Aix En Provence;France;44.20N;4.47E
1772-10-01;13.144;2.579;Aix En Provence;France;44.20N;4.47E
1772-11-01;8.703;5.956;Aix En Provence;France;44.20N;4.47E
1772-12-01;5.422;4.002;Aix En Provence;France;44.20N;4.47E
1773-01-01;3.583;2.622;Aix En Provence;France;44.20N;4.47E
1773-02-01;2.503;3.596;Aix En Provence;France;44.20N;4.47E
1773-03-01;6.077;2.046;Aix En Provence;France;44.20N;4.47E
1773-04-01;9.707;3.725;Aix En Provence;France;44.20N;4.47E
1773-05-01;13.808;3.812;Aix En Provence;France;44.20N;4.47E
1773-06-01;17.45;1.984;Aix En Provence;France;44.20N;4.47E
1773-07-01;19.421;2.169;Aix En Provence;France;44.20N;4.47E
1773-08-01;19.578;2.341;Aix En Provence;France;44.20N;4.47E
1773-09-01;17.515;1.934;Aix En Provence;France;44.20N;4.47E
1773-10-01;11.989;1.457;Aix En Provence;France;44.20N;4.47E
1773-11-01;6.558;7.141;Aix En Provence;France;44.20N;4.47E
1773-12-01;4.692;5.602;Aix En Provence;France;44.20N;4.47E
1774-01-01;2.999;8.807;Aix En Provence;France;44.20N;4.47E
1774-02-01;5.084;7.817;Aix En Provence;France;44.20N;4.47E
1774-03-01;8.755;2.714;Aix En Provence;France;44.20N;4.47E
1774-04-01;11.112;5.685;Aix En Provence;France;44.20N;4.47E
1774-05-01;14.581;2.73;Aix En Provence;France;44.20N;4.47E
1774-06-01;18.878;8.043;Aix En Provence;France;44.20N;4.47E
1774-07-01;20.913;7.761;Aix En Provence;France;44.20N;4.47E
1774-08-01;22.113;3.125;Aix En Provence;France;44.20N;4.47E
1774-09-01;16.309;3.353;Aix En Provence;France;44.20N;4.47E
1774-10-01;10.064;4.725;Aix En Provence;France;44.20N;4.47E
1774-11-01;4.761;8.469;Aix En Provence;France;44.20N;4.47E
1774-12-01;0.753;6.015;Aix En Provence;France;44.20N;4.47E
1775-01-01;3.562;5.283;Aix En Provence;France;44.20N;4.47E
1775-02-01;7.123;4.456;Aix En Provence;France;44.20N;4.47E
1775-03-01;8.485;1.629;Aix En Provence;France;44.20N;4.47E
1775-04-01;10.193;1.332;Aix En Provence;France;44.20N;4.47E
1775-05-01;13.803;3.846;Aix En Provence;France;44.20N;4.47E
1775-06-01;18.654;5.522;Aix En Provence;France;44.20N;4.47E
1775-07-01;21.106;1.835;Aix En Provence;France;44.20N;4.47E
1775-08-01;20.25;2.037;Aix En Provence;France;44.20N;4.47E
1775-09-01;16.526;2.765;Aix En Provence;France;44.20N;4.47E
1775-10-01;11.454;3.61;Aix En Provence;France;44.20N;4.47E
1775-11-01;7.011;7.219;Aix En Provence;France;44.20N;4.47E
1775-12-01;2.182;1.682;Aix En Provence;France;44.20N;4.47E
1776-01-01;0.901;6.788;Aix En Provence;France;44.20N;4.47E
1776-02-01;5.281;4.804;Aix En Provence;France;44.20N;4.47E
1776-03-01;8.743;4.017;Aix En Provence;France;44.20N;4.47E
1776-04-01;10.598;1.274;Aix En Provence;France;44.20N;4.47E
1776-05-01;12.85;4.371;Aix En Provence;France;44.20N;4.47E
1776-06-01;18.695;3.032;Aix En Provence;France;44.20N;4.47E
1776-07-01;20.98;2.587;Aix En Provence;France;44.20N;4.47E
1776-08-01;21.113;4.456;Aix En Provence;France;44.20N;4.47E
1776-09-01;15.319;3.154;Aix En Provence;France;44.20N;4.47E
1776-10-01;11.653;3.215;Aix En Provence;France;44.20N;4.47E
1776-11-01;6.523;5.785;Aix En Provence;France;44.20N;4.47E
1776-12-01;3.176;3.101;Aix En Provence;France;44.20N;4.47E
1777-01-01;1.45;4.239;Aix En Provence;France;44.20N;4.47E
1777-02-01;3.509;5.381;Aix En Provence;France;44.20N;4.47E
1777-03-01;9.268;2.131;Aix En Provence;France;44.20N;4.47E
1777-04-01;9.326;1.997;Aix En Provence;France;44.20N;4.47E
1777-05-01;13.11;3.69;Aix En Provence;France;44.20N;4.47E
1777-06-01;17.304;2.454;Aix En Provence;France;44.20N;4.47E
1777-07-01;19.443;1.876;Aix En Provence;France;44.20N;4.47E
1777-08-01;21.064;2.062;Aix En Provence;France;44.20N;4.47E
1777-09-01;17.169;4.214;Aix En Provence;France;44.20N;4.47E
1777-10-01;12.096;5.24;Aix En Provence;France;44.20N;4.47E
1777-11-01;7.774;3.072;Aix En Provence;France;44.20N;4.47E
1777-12-01;1.351;2.286;Aix En Provence;France;44.20N;4.47E
1778-01-01;2.807;3.392;Aix En Provence;France;44.20N;4.47E
